Sl. No.,Official_Gene_Symbol,Entrez_Gene_ID,Expression_Change,Gene_Name
1,RAMAC,614296,Downregulated,RNA guanine-7 methyltransferase activating subunit(RAMAC)
2,DEFB13,404107,Downregulated,Beta-defensin 13(DEFB13)
3,FERMT1,524427,Downregulated,FERM domain containing kindlin 1(FERMT1)
4,RMI1,614063,Downregulated,RecQ mediated genome instability 1(RMI1)
5,TMEM106C,514271,Downregulated,transmembrane protein 106C(TMEM106C)
6,TSR1,510820,Downregulated,TSR1 ribosome maturation factor(TSR1)
7,ZNF212,507268,Downregulated,zinc finger protein 212(ZNF212)
8,ZNF689,539836,Downregulated,zinc finger protein 689(ZNF689)
9,FBXO16,768246,Downregulated,F-box protein 16(FBXO16)
10,LOC107131731,107131731,Downregulated,interferon-induced transmembrane protein 3-like(LOC107131731)
11,LOC524181,524181,Downregulated,putative protein FAM172B(LOC524181)
12,LOC112448153,112448153,Downregulated,WAS/WASL-interacting protein family member 3(LOC112448153)
13,ZNF677,525522,Downregulated,zinc finger protein 677(ZNF677)
14,PFKFB2,287019,Downregulated,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)"
15,HACL1,512676,Downregulated,2-hydroxyacyl-CoA lyase 1(HACL1)
16,LOC132346963,132346963,Downregulated,uncharacterized LOC132346963(LOC132346963)
17,LENG9,101907522,Downregulated,leukocyte receptor cluster member 9(LENG9)
18,CCL8,281044,Downregulated,chemokine (C-C motif) ligand 8(CCL8)
19,SMIM10L3,100140431,Downregulated,small integral membrane protein 10 like 3(SMIM10L3)
20,LYSMD4,529775,Downregulated,LysM domain containing 4(LYSMD4)
21,DOP1B,514520,Downregulated,DOP1 leucine zipper like protein B(DOP1B)
22,TRIB2,352960,Downregulated,tribbles pseudokinase 2(TRIB2)
23,ERI2,538719,Downregulated,ERI1 exoribonuclease family member 2(ERI2)
24,EGR3,526233,Downregulated,early growth response 3(EGR3)
25,NDUFAF1,541232,Downregulated,NADH:ubiquinone oxidoreductase complex assembly factor 1(NDUFAF1)
26,DHRS12,507276,Downregulated,dehydrogenase/reductase 12(DHRS12)
27,ERMARD,512804,Downregulated,ER membrane associated RNA degradation(ERMARD)
28,KIF23,515748,Downregulated,kinesin family member 23(KIF23)
29,MARCHF8,540667,Downregulated,membrane associated ring-CH-type finger 8(MARCHF8)
30,EXOSC2,615712,Downregulated,exosome component 2(EXOSC2)
31,LOC132343034,132343034,Downregulated,low-density lipoprotein receptor-related protein 1B-like(LOC132343034)
32,TMEM267,780867,Downregulated,transmembrane protein 267(TMEM267)
33,LOC519274,519274,Downregulated,small ribosomal subunit protein uS12-like(LOC519274)
34,NPHP1,505421,Downregulated,nephrocystin 1(NPHP1)
35,LOC132342802,132342802,Downregulated,uncharacterized LOC132342802(LOC132342802)
36,DDX50,534331,Downregulated,DExD-box helicase 50(DDX50)
37,GFOD1,104968712,Downregulated,glucose-fructose oxidoreductase domain containing 1(GFOD1)
38,LOC107132530,107132530,Downregulated,uncharacterized LOC107132530(LOC107132530)
39,SCRIB,100295316,Downregulated,scribble planar cell polarity protein(SCRIB)
40,CDKN1C,510972,Downregulated,cyclin dependent kinase inhibitor 1C(CDKN1C)
41,LOC107131651,107131651,Downregulated,uncharacterized LOC107131651(LOC107131651)
42,LOC104970976,104970976,Downregulated,uncharacterized LOC104970976(LOC104970976)
43,DEF8,513349,Downregulated,differentially expressed in FDCP 8 homolog(DEF8)
44,NFIA,615371,Downregulated,nuclear factor I A(NFIA)
45,ZNF579,618680,Downregulated,zinc finger protein 579(ZNF579)
46,LOC528412,528412,Downregulated,ATP-binding cassette sub-family C member 4(LOC528412)
47,ZNF782,616883,Downregulated,zinc finger protein 782(ZNF782)
48,LOC132343102,132343102,Downregulated,uncharacterized LOC132343102(LOC132343102)
49,ADPGK,518158,Downregulated,ADP dependent glucokinase(ADPGK)
50,ZNF75A,100126179,Downregulated,zinc finger protein 75A(ZNF75A)
51,TST,280946,Downregulated,thiosulfate sulfurtransferase(TST)
52,MCM4,504367,Downregulated,minichromosome maintenance complex component 4(MCM4)
53,CCT6B,538090,Downregulated,chaperonin containing TCP1 subunit 6B(CCT6B)
54,SPTBN4,537578,Downregulated,"spectrin beta, non-erythrocytic 4(SPTBN4)"
